Host Response Time,Host Response Rate,Host Listings Count,Host Total Listings Count,Accommodates,Bathrooms,Bedrooms,Beds,Weekly Price,Monthly Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 30,Availability 60,Availability 90,Availability 365,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Calculated host listings count,Reviews per Month,total_words,house_rules_words,days_since_calendar_updated,days_host_since,days_since_last_scraped,days_since_first_review,days_since_last_review,season,host_verified,distance_km,neighbourhood_price,has_weekly_price,has_monthly_price,Property Type_price_encoded,Room Type_price_encoded,Bed Type_price_encoded,total_amenities,amenity_wireless_internet,amenity_internet,amenity_kitchen,amenity_heating,amenity_essentials,amenity_washer,amenity_tv,amenity_hot_tub,amenity_pool,amenity_gym,amenity_cable_tv,amenity_free_parking_on_premises,amenity_pets_allowed,cancellation_price_encoded
1,1.0,1.0,1.0,4,1.0,1.0,2.0,999999.0,999999.0,0.0,30.0,1,0,2,1125,2,2,4,279,14,86.0,9.0,9.0,9.0,9.0,10.0,9.0,1.0,1.15,179,0,1,1277,1,364,7,1,1,2.5739301094506346,70.0,0,0,55.0,72.0,52.0,17,1,1,1,1,1,1,1,0,0,0,1,0,1,40.0
3,1.0,3.0,3.0,4,2.0,2.0,3.0,700.0,2400.0,0.0,50.0,1,0,3,1125,15,19,26,278,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,0.0,111,0,1,788,1,999,999,1,1,2.18997538044566,50.0,1,1,55.0,72.0,52.0,16,1,1,1,1,0,1,1,0,0,0,0,0,0,40.0
1,1.0,1.0,1.0,4,1.0,1.0,2.0,999999.0,999999.0,0.0,33.0,3,0,2,1125,5,12,29,172,34,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,2.52,345,0,1,420,1,405,49,1,1,0.6269650691826284,65.0,0,0,55.0,72.0,52.0,21,1,1,1,1,1,1,1,0,0,0,1,0,0,60.0
1,1.0,17.0,17.0,2,1.0,0.0,2.0,999999.0,999999.0,0.0,25.0,1,10,1,30,4,18,40,295,45,92.0,9.0,9.0,10.0,10.0,10.0,9.0,8.0,4.29,407,0,2,1241,1,315,2,1,1,1.1940618384424864,60.0,0,0,55.0,72.0,52.0,17,1,1,1,1,1,1,1,0,0,0,0,0,0,55.0
1,1.0,3.0,3.0,4,1.0,2.0,2.0,840.0,3000.0,100.0,25.0,2,10,6,1125,7,37,67,342,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,0.0,272,72,1,1698,1,999,999,1,1,1.0269964666560287,65.0,1,1,55.0,72.0,52.0,9,1,1,1,1,1,1,0,0,0,0,0,0,0,60.0
1,1.0,1.0,1.0,3,1.0,1.0,2.0,999999.0,999999.0,0.0,10.0,2,20,4,14,9,31,31,31,70,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,5.68,442,818,2,459,1,370,16,1,1,1.1766980643856169,60.0,0,0,55.0,29.0,52.0,17,1,1,1,1,1,1,1,0,0,0,0,0,0,55.0
999,0.0,1.0,1.0,3,1.0,1.0,1.0,999999.0,999999.0,0.0,20.0,2,10,6,1125,0,0,11,11,4,93.0,9.0,7.0,10.0,10.0,10.0,9.0,1.0,0.75,294,0,1,847,1,160,96,1,1,0.6960750098147032,65.0,0,0,55.0,72.0,52.0,8,1,1,1,0,1,1,0,0,0,0,0,0,0,60.0
999,0.0,1.0,1.0,2,1.0,1.0,1.0,999999.0,999999.0,0.0,10.0,2,10,1,1125,0,0,0,0,3,87.0,9.0,7.0,9.0,8.0,9.0,9.0,1.0,0.21,279,111,2,716,1,427,340,1,1,0.9441862445585741,50.0,0,0,55.0,72.0,52.0,9,1,1,1,0,0,1,1,0,0,0,0,0,0,55.0
1,1.0,1.0,1.0,2,1.0,1.0,1.0,999999.0,999999.0,0.0,10.0,1,0,1,1125,0,0,0,97,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,0.31,208,0,1,293,1,97,97,1,1,3.861946398360331,42.5,0,0,55.0,29.0,52.0,18,1,1,1,1,1,1,1,0,0,0,0,0,0,40.0
1,1.0,1.0,1.0,2,1.0,1.0,1.0,200.0,999999.0,300.0,10.0,1,5,1,1125,13,40,70,345,29,94.0,10.0,9.0,9.0,10.0,9.0,9.0,1.0,1.55,163,836,1,955,1,560,4,1,1,5.368238518670714,32.0,1,0,55.0,29.0,52.0,19,1,1,1,1,1,1,0,0,0,0,0,0,1,60.0
